Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D8, D9",Diode_SOD-123,65,~,
"DISPLAY_1, DISPLAY_2",OLED_128x32,2,OLED_128x32,
"J1, J2",JST_PH_S2B-PH-K_02x2.00mm_Angled,2,Conn_01x02,
"S1, S10, S11, S12, S13, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S54, S55, S56, S57, S58, S6, S61, S62, S63, S64, S65, S7, S8, S9",Hotswap_Choc_V1_1.00u,56,~,
"S14, S29, S53",Hotswap_Choc_V1_1.50u,3,~,
"S15, S28",Hotswap_Choc_V1_1.25u,2,~,
"S41, S42",Hotswap_Choc_V1_1.75u,2,~,
"S59, S60",Hotswap_Choc_V1_3.00u,2,~,
"SW1, SW2",SPDT_C128955,2,SW_SPDT_312,
"SW3, SW4",Panasonic_EVQPUL_EVQPUC,2,Switch,
"U1, U2",Nice_Nano_V2,2,Nice_Nano_V2,
