Designator,Mid X,Mid Y,Rotation,Layer
B1,160.03,-63.605,90.0,top
B2,160.03,-97.605,90.0,top
B3,160.03,-131.605,90.0,top
D1,176.13,-68.505,90.0,bottom
D10,75.11,-68.46,90.0,bottom
D11,93.11,-68.46,90.0,bottom
D12,111.11,-68.46,90.0,bottom
D13,129.11,-68.46,90.0,bottom
D14,151.61,-68.46,90.0,bottom
D15,178.33,-85.495,90.0,bottom
D16,198.58,-85.495,90.0,bottom
D17,216.58,-85.495,90.0,bottom
D18,234.58,-85.495,90.0,bottom
D19,252.58,-85.495,90.0,bottom
D2,194.12,-68.505,90.0,bottom
D20,270.58,-85.495,90.0,bottom
D21,25.61,-85.46,90.0,bottom
D22,43.61,-85.46,90.0,bottom
D23,61.61,-85.46,90.0,bottom
D24,79.61,-85.46,90.0,bottom
D25,97.61,-85.51,90.0,bottom
D26,115.61,-85.46,90.0,bottom
D27,133.61,-85.51,90.0,bottom
D28,153.91,-85.51,90.0,bottom
D29,180.58,-102.495,90.0,bottom
D3,212.13,-68.505,90.0,bottom
D30,203.08,-102.495,90.0,bottom
D31,221.08,-102.445,90.0,bottom
D32,239.08,-102.495,90.0,bottom
D33,257.08,-102.495,90.0,bottom
D34,275.08,-102.495,90.0,bottom
D35,34.61,-102.46,90.0,bottom
D36,52.61,-102.46,90.0,bottom
D37,70.61,-102.46,90.0,bottom
D38,88.61,-102.46,90.0,bottom
D39,106.61,-102.46,90.0,bottom
D4,230.12,-68.515,90.0,bottom
D40,124.61,-102.46,90.0,bottom
D41,149.41,-102.46,90.0,bottom
D42,182.88,-119.445,90.0,bottom
D43,207.68,-119.495,90.0,bottom
D44,225.68,-119.495,90.0,bottom
D45,243.68,-119.495,90.0,bottom
D46,261.68,-119.495,90.0,bottom
D47,279.48,-119.495,90.0,bottom
D48,37.86,-119.46,90.0,bottom
D49,55.86,-119.51,90.0,bottom
D5,248.13,-68.515,90.0,bottom
D50,73.86,-119.46,90.0,bottom
D51,91.86,-119.51,90.0,bottom
D52,109.86,-119.46,90.0,bottom
D53,132.36,-119.46,90.0,bottom
D54,154.86,-119.46,90.0,bottom
D55,176.08,-136.495,90.0,bottom
D56,194.18,-136.545,90.0,bottom
D57,212.08,-136.495,90.0,bottom
D58,230.08,-136.495,90.0,bottom
D59,266.08,-136.495,90.0,bottom
D6,266.08,-68.495,90.0,bottom
D60,46.86,-136.46,90.0,bottom
D61,82.86,-136.46,90.0,bottom
D62,100.86,-136.46,90.0,bottom
D63,118.86,-136.46,90.0,bottom
D64,136.86,-136.46,90.0,bottom
D65,154.86,-136.51,90.0,bottom
D7,21.11,-68.46,90.0,bottom
D8,39.11,-68.51,90.0,bottom
D9,57.11,-68.46,90.0,bottom
J1,258.31,-45.995,90.0,top
J2,18.87,-45.91,270.0,top
S1,170.03,-63.605,0.0,top
S10,69.03,-63.59,0.0,top
S11,87.03,-63.59,0.0,top
S12,105.03,-63.59,0.0,top
S13,123.03,-63.59,0.0,top
S14,145.53,-63.59,0.0,top
S15,172.28,-80.605,0.0,top
S16,192.53,-80.605,0.0,top
S17,210.53,-80.605,0.0,top
S18,228.53,-80.605,0.0,top
S19,246.53,-80.605,0.0,top
S2,188.03,-63.605,0.0,top
S20,264.53,-80.605,0.0,top
S21,19.53,-80.59,0.0,top
S22,37.53,-80.59,0.0,top
S23,55.53,-80.59,0.0,top
S24,73.53,-80.59,0.0,top
S25,91.53,-80.59,0.0,top
S26,109.53,-80.59,0.0,top
S27,127.53,-80.59,0.0,top
S28,147.78,-80.59,0.0,top
S29,174.53,-97.605,0.0,top
S3,206.03,-63.605,0.0,top
S30,197.03,-97.605,0.0,top
S31,215.03,-97.605,0.0,top
S32,233.03,-97.605,0.0,top
S33,251.03,-97.605,0.0,top
S34,269.03,-97.605,0.0,top
S35,28.53,-97.59,0.0,top
S36,46.53,-97.59,0.0,top
S37,64.53,-97.59,0.0,top
S38,82.53,-97.59,0.0,top
S39,100.53,-97.59,0.0,top
S4,224.03,-63.605,0.0,top
S40,118.53,-97.59,0.0,top
S41,143.28,-97.59,0.0,top
S42,176.78,-114.605,0.0,top
S43,201.53,-114.605,0.0,top
S44,219.53,-114.605,0.0,top
S45,237.53,-114.605,0.0,top
S46,255.53,-114.605,0.0,top
S47,273.53,-114.605,0.0,top
S48,31.78,-114.59,0.0,top
S49,49.78,-114.59,0.0,top
S5,242.03,-63.605,0.0,top
S50,67.78,-114.59,0.0,top
S51,85.78,-114.59,0.0,top
S52,103.78,-114.59,0.0,top
S53,126.28,-114.59,0.0,top
S54,148.78,-114.59,0.0,top
S55,170.03,-131.605,0.0,top
S56,188.03,-131.605,0.0,top
S57,206.03,-131.605,0.0,top
S58,224.03,-131.605,0.0,top
S59,260.03,-131.605,0.0,top
S6,260.03,-63.605,0.0,top
S60,40.78,-131.59,0.0,top
S61,76.78,-131.59,0.0,top
S62,94.78,-131.59,0.0,top
S63,112.78,-131.59,0.0,top
S64,130.78,-131.59,0.0,top
S65,148.78,-131.59,0.0,top
S7,15.03,-63.59,0.0,top
S8,33.03,-63.59,0.0,top
S9,51.03,-63.59,0.0,top
SW1,268.06,-45.975,270.0,top
SW2,8.445,-45.91,90.0,top
SW3,12.87,-45.91,90.0,top
SW4,263.635,-45.975,270.0,top
U1,252.355,-45.975,270.0,top
U2,24.15,-45.91,90.0,top
